MPSecID,Symbol,SecuritySubType,MaturityDate,MaturityDateBack,EntryType,EntryPrice,EntrySize,ReferenceID,EntryRate,TransactTime,NetChangePx,EntryLegPriceNear
10270212180316000000,BMY1D,B,20180316,00000000,4,68.548100,21.00,310118058000017,0.000000,2018-02-27 15:14:18.501000,-0.121900,0
10286012180316000000,BAC1D,B,20180316,00000000,4,32.447300,42.00,310118058000018,0.000000,2018-02-27 15:14:20.726000,0.007300,0
10274111180615000000,MO1D,S,20180615,00000000,4,65.650000,1.00,300318058000023,0.022444,2018-02-27 15:27:50.811000,-0.040000,0
10271111180316000000,PFE1D,S,20180316,00000000,4,37.101400,50.00,300218058000017,0.020525,2018-02-27 15:36:04.406000,-0.008600,0
10271111180316000000,PFE1D,S,20180316,00000000,4,37.108700,50.00,300218058000018,0.016177,2018-02-27 15:37:22.306000,-0.001300,0
10271111180316000000,PFE1D,S,20180316,00000000,4,37.107200,34.00,300218058000019,0.015332,2018-02-27 15:37:50.953000,-0.002800,0
10271811180615000000,XOM1D,S,20180615,00000000,4,79.670000,2.00,300318058000024,0.020585,2018-02-27 15:38:03.784000,0.530000,0
10448811180615000000,COP1D,S,20180615,00000000,4,57.310000,1.00,300318058000025,0.022792,2018-02-27 15:38:23.155000,0.530000,0
11489611180316000000,MIK1D,S,20180316,00000000,4,23.881500,2.00,300218058000020,-0.016179,2018-02-27 15:38:27.116000,-0.338500,0
11548411180615000000,HPQ1D,S,20180615,00000000,4,23.630000,1.00,300318058000026,0.021252,2018-02-27 15:44:30.387000,0.100000,0
10276911180316000000,FCX1D,S,20180316,00000000,4,19.088300,2.00,300218058000021,-0.001862,2018-02-27 15:44:30.689000,-0.451700,0
10282111180615000000,DVN1D,S,20180615,00000000,4,32.060000,1.00,300318058000027,0.024038,2018-02-27 15:47:21.217000,0.330000,0
13496711180615000000,DWDP1D,S,20180615,00000000,4,73.800000,2.00,300218058000022,0.033236,2018-02-27 15:52:21.176000,-0.550000,0
10273811180615000000,LLY1D,S,20180615,00000000,4,80.190000,1.00,300218058000023,0.025079,2018-02-27 15:54:16.437000,-0.290000,0
